date,PriceUSD,CapMrktCurUSD,CapMVRVCur,IssTotUSD
2010-07-18,0.09,295959.0,146.038332,738.22
2010-07-19,0.08,279285.0,62.56513,702.96
2010-07-20,0.07,259000.0,45.10663,676.36
2010-07-21,0.08,275266.0,38.35756,819.65
2010-07-22,0.06,203750.0,25.132348,514.53
2010-07-23,0.06,211736.0,23.190988,587.75
2010-07-24,0.05,191100.0,17.071914,515.4
2010-07-25,0.05,177670.0,14.2948,583.74
2010-07-26,0.06,197543.0,12.57111,680.4
2010-07-27,0.06,207279.0,12.410611,486.56
2010-07-28,0.06,208769.0,11.867736,468.34
2010-07-29,0.07,248341.0,13.541212,629.1
2010-07-30,0.06,230303.0,12.032902,588.38
2010-07-31,0.07,241277.0,12.052866,685.59
2010-08-01,0.06,218982.0,10.448923,730.14
2010-08-02,0.06,215766.0,9.976204,726.0
2010-08-03,0.06,216491.0,9.604613,681.14
2010-08-04,0.06,206374.0,8.828838,692.74
2010-08-05,0.06,221460.0,9.19506,664.9
2010-08-06,0.06,224351.0,9.025812,453.28
2010-08-07,0.06,215105.0,8.428757,457.28
2010-08-08,0.06,222623.0,8.477024,605.96
2010-08-09,0.07,258020.0,9.280854,668.8
2010-08-10,0.07,254792.0,8.883873,662.18
2010-08-11,0.07,246979.0,8.337932,780.55
2010-08-12,0.07,258797.0,8.497876,759.5
2010-08-13,0.06,239156.0,7.567628,693.38
2010-08-14,0.07,249354.0,7.651897,941.3
2010-08-15,0.07,243036.0,7.266497,673.97
2010-08-16,0.07,244944.0,7.138375,481.42
2010-08-17,0.07,262224.0,7.509859,451.5
2010-08-18,0.07,255184.0,7.147964,452.2
2010-08-19,0.07,250755.0,6.931684,450.22
2010-08-20,0.07,246876.0,6.694129,632.08
2010-08-21,0.07,250843.0,6.617756,574.36
2010-08-22,0.07,249762.0,6.415687,698.85
2010-08-23,0.06,246593.0,6.224956,691.29
2010-08-24,0.06,247634.0,6.13247,698.75
2010-08-25,0.06,247572.0,6.023861,699.84
2010-08-26,0.06,245475.0,5.87469,672.79
2010-08-27,0.06,249574.0,5.872092,555.75
2010-08-28,0.06,248587.0,5.774976,549.1
2010-08-29,0.06,246797.0,5.662729,518.4
2010-08-30,0.06,251021.0,5.690502,484.03
2010-08-31,0.06,232371.0,5.191598,552.0
2010-09-01,0.06,240700.0,5.318913,486.89
2010-09-02,0.06,246531.0,5.385225,494.52
2010-09-03,0.06,237114.0,5.121796,498.97
2010-09-04,0.06,242853.0,5.182359,562.71
2010-09-05,0.06,241298.0,5.068973,508.61
2010-09-06,0.06,241589.0,5.032073,486.64
2010-09-07,0.06,240664.0,4.948163,489.91
2010-09-08,0.06,240227.0,4.888361,503.25
2010-09-09,0.06,241092.0,4.795458,412.53
2010-09-10,0.06,241224.0,4.746695,539.95
2010-09-11,0.06,252050.0,4.910611,508.97
2010-09-12,0.06,244192.0,4.696999,544.28
2010-09-13,0.06,247424.0,4.706415,531.64
2010-09-14,0.06,247297.0,4.645129,629.2
2010-09-15,0.06,241464.0,4.454289,510.38
2010-09-16,0.06,248139.0,4.476339,677.8
2010-09-17,0.06,241148.0,4.192748,624.01
2010-09-18,0.06,245888.0,4.22048,722.85
2010-09-19,0.06,253396.0,4.295341,655.22
2010-09-20,0.06,251608.0,4.220434,630.33
2010-09-21,0.06,254368.0,4.226022,538.79
2010-09-22,0.06,251788.0,4.141624,538.37
2010-09-23,0.06,253621.0,4.114974,727.2
2010-09-24,0.06,254519.0,4.079547,709.08
2010-09-25,0.06,254425.0,4.032784,641.91
2010-09-26,0.06,254978.0,4.000706,635.5
2010-09-27,0.06,256515.0,3.917512,712.2
2010-09-28,0.06,255948.0,3.703188,656.18
2010-09-29,0.06,256481.0,3.673698,507.66
2010-09-30,0.06,256891.0,3.586975,451.87
2010-10-01,0.06,257673.0,3.572187,477.19
2010-10-02,0.06,255596.0,3.266072,307.0
2010-10-03,0.06,254573.0,3.238079,372.5
2010-10-04,0.06,255999.0,3.234176,468.9
2010-10-05,0.06,256827.0,3.170036,386.82
2010-10-06,0.06,263262.0,3.224213,537.03
2010-10-07,0.07,281360.0,3.40312,536.0
2010-10-08,0.08,355303.0,4.148338,650.29
